Thinking in JavaScript;Free eBook;0.00;;https://www.packtpub.com/packt/free-ebook/thinking-in-javascript;
Skill Up: Developer Talk;Free eBook;0.00;;https://www.packtpub.com/packt/free-ebook/skill-developer-talk;
What You Need to Know about Machine Learning;Free eBook;0.00;;https://www.packtpub.com/packt/free-ebook/what-you-need-know-about-machine-learning;
What You Need To Know About Node.js;Free eBook;0.00;;https://www.packtpub.com/packt/free-ebook/what-you-need-know-about-nodejs;
What you need to know about R;Free eBook;0.00;;https://www.packtpub.com/packt/free-ebook/what-you-need-know-about-r;
Getting Started Making Video Games;Free eBook;0.00;;https://www.packtpub.com/game-development/getting-started-making-video-games;
What You Need to Know about Docker;Free eBook;0.00;;https://www.packtpub.com/packt/free-ebook/what-you-need-know-about-docker;
What you need to know about Angular 2;Free eBook;0.00;;https://www.packtpub.com/packt/free-ebook/what-you-need-know-about-angular-2;
What You Need to Know about JavaScript;Free eBook;0.00;;https://www.packtpub.com/packt/free-ebook/what-you-need-know-about-javascript;
Thinking in CSS;Free eBook;0.00;;https://www.packtpub.com/packt/free-ebook/thinking-in-CSS;
Thinking in HTML[eBook];Free eBook;0.00;;https://www.packtpub.com/packt/free-ebook/thinking-in-html;
Practical Responsive Typography;Web Development;23.99;218;https://www.packtpub.com/web-development/practical-responsive-typography%0A;Typography is an essential part of any website’s design. It can help you stand out from the crowd, communicate with clarity, and cultivate a distinctive identity. Practical Responsive Typography demonstrates how to use typography to greatest effect. With this book you won't underestimate it's importance - you'll be in complete control over this crucial component of web design. From scaling and optimizing screen spaces to using a range of different web fonts, you'll quickly get up to speed with the practical considerations behind successful typography. But more than the fundamentals, you'll also find out how to go further by customizing typography designs to suit your identity.
Learning Java Functional Programming;Application Development;43.99;296;https://www.packtpub.com/application-development/learning-java-functional-programming%0A;Functional programming is an increasingly popular technology that allows you to simplify many tasks that are often cumbersome and awkward using an object-oriented approach. It is important to understand this approach and know how and when to apply it. Functional programming requires a different mindset, but once mastered it can be very rewarding. This book simplifies the learning process as a problem is described followed by its implementation using an object-oriented approach and then a solution is provided using appropriate functional programming techniques. Writing succinct and maintainable code is facilitated by many functional programming techniques including lambda expressions and streams. In this book, you will see numerous examples of how these techniques can be applied starting with an introduction to lambda expressions. Next, you will see how they can replace older approaches and be combined to achieve surprisingly elegant solutions to problems. This is followed by the investigation of related concepts such as the Optional class and monads, which offer an additional approach to handle problems. Design patterns have been instrumental in solving common problems. You will learn how these are enhanced with functional techniques. To transition from an object-oriented approach to a functional one, it is useful to have IDE support. IDE tools to refactor, debug, and test functional programs are demonstrated through the chapters. The end of the book brings together many of these functional programming techniques to create a more comprehensive application. You will find this book a very useful resource to learn and apply functional programming techniques in Java.
Learning Data Mining with Python;Big Data & Business Intelligence;35.99;344;https://www.packtpub.com/big-data-and-business-intelligence/learning-data-mining-python%0A;The next step in the information age is to gain insights from the deluge of data coming our way. Data mining provides a way of finding this insight, and Python is one of the most popular languages for data mining, providing both power and flexibility in analysis. This book teaches you to design and develop data mining applications using a variety of datasets, starting with basic classification and affinity analysis. Next, we move on to more complex data types including text, images, and graphs. In every chapter, we create models that solve real-world problems. There is a rich and varied set of libraries available in Python for data mining. This book covers a large number, including the IPython Notebook, pandas, scikit-learn and NLTK. Each chapter of this book introduces you to new algorithms and techniques. By the end of the book, you will gain a large insight into using Python for data mining, with a good knowledge and understanding of the algorithms and implementations.
